AMT Concat,Concat Code,Comp Code,Mod Code,AMT Model,AMT Serial Prefix,AMT Component Code,AMT Modifier Code,MacMahon Serial Prefix,Functional Location,Position Code,Maintenance Item Description,Functional Location Code,Customer data Concat
6P6LT,6P6LT,,LT,6060,6P6,,LT - LEFT,6P6,EXBH189-HYSY-VAHY-VAAC,LH,29700H TRAVEL SPEED CTRL VLVE CHNG LH,HYSY-VAHY-VAAC,6P6HYSY-VAHY-VAACLH
6P6RI,6P6RI,,RI,6060,6P6,,RI - RIGHT,6P6,EXBH189-PUD2,RH,16500H PUMP DRIVE CHANGE RH,PUD2,6P6PUD2RH
6P600,6P600,,00,6060,6P6,,00 - (NONE),6P6,EXBH189-SURE-SWBR-SWBR,,33000H SWING BEARING CHANGE,SURE-SWBR-SWBR,6P6SURE-SWBR-SWBR
135300,135300,1353,00,773 ST,,1353 - RADIATOR,00 - (NONE),7CS,DZTR082-ENGI,,12000H RADIATOR CHANGE,ENGI,7CSENGI
310100,310100,3101,00,773 ST,,3101 - TORQUE CONVERTER,00 - (NONE),7CS,DZTR082-DRIV-TQCV,,12000H TORQUE CONVERTER CHANGE,DRIV-TQCV,7CSDRIV-TQCV
325800,325800,3258,00,773 ST,,3258 - DIFFERENTIAL,00 - (NONE),7CS,,,13200H DIFFERENTIAL CHANGE,,
4008LR,4008LR,4008,LR,773 ST,,"4008 - FINAL DRIVE, BRAKE & WHEEL",LR - LEFT REAR,7CS,,,13200H WHEEL END CHANGE LHR,,
4008RR,4008RR,4008,RR,773 ST,,"4008 - FINAL DRIVE, BRAKE & WHEEL",RR - RIGHT REAR,7CS,,,13200H WHEEL END CHANGE RHR,,
4261RR,4261RR,4261,RR,773 ST,,4261 - BRAKE/SLACK ADJUSTER,RR - RIGHT REAR,7CS,,,12000H BRAKE SLACK ADJUSTER CHANGE RR,,
4303LT,4303LT,4303,LT,773 ST,,4303 - STEERING CYLINDER,LT - LEFT,7CS,,,12000H STEERING CYLINDER CHANGE LH,,
4303RI,4303RI,4303,RI,773 ST,,4303 - STEERING CYLINDER,RI - RIGHT,7CS,,,12000H STEERING CYLINDER CHANGE RH,,
7201LF,7201LF,7201,LF,773 ST,,7201 - SUSPENSION CYLINDER,LF - LEFT FRONT,7CS,,,15000H SUSPENSION CYLINDER CHANGE LHF,,
7ER100000,7ER100000,1000,00,773D,7ER,1000 - ENGINE,00 - (NONE),7ER,TKSR024-ENGI,,20000H ENGINE CHANGE,ENGI,7ERENGI
7ER135300,7ER135300,1353,00,773D,7ER,1353 - RADIATOR,00 - (NONE),7ER,TKSR024-ENGI-COSY,,20000H RADIATOR CHANGE,ENGI-COSY,7ERENGI-COSY
7ER303000,7ER303000,3030,00,773D,7ER,3030 - TRANSMISSION,00 - (NONE),7ER,TKSR024-DRIV-TMSN,,18000H TRANSMISSION CHANGE,DRIV-TMSN,7ERDRIV-TMSN
7ER310100,7ER310100,3101,00,773D,7ER,3101 - TORQUE CONVERTER,00 - (NONE),7ER,TKSR024-DRIV-TQCV,,20000H TORQUE CONVERTER CHANGE,DRIV-TQCV,7ERDRIV-TQCV
7ER325800,7ER325800,3258,00,773D,7ER,3258 - DIFFERENTIAL,00 - (NONE),7ER,TKSR024-DRIV-DIFF,,18000H DIFFERENTIAL CHANGE,DRIV-DIFF,7ERDRIV-DIFF
7ER4008LR,7ER4008LR,4008,LR,773D,7ER,"4008 - FINAL DRIVE, BRAKE & WHEEL",LR - LEFT REAR,7ER,TKSR025-DRIV-FIDV,LHR,18000H WHEEL END CHANGE LHR,DRIV-FIDV,7ERDRIV-FIDVLHR
7ER4008RI,7ER4008RI,4008,RI,773D,7ER,"4008 - FINAL DRIVE, BRAKE & WHEEL",RI - RIGHT,7ER,TKSR020-DRIV-FIDV,RHR,18000H WHEEL END CHANGE RHR,DRIV-FIDV,7ERDRIV-FIDVRHR
7ER4050RR,7ER4050RR,4050,RR,773D,7ER,4050 - FINAL DRIVE,RR - RIGHT REAR,7ER,TKSR024-DRIV-FIDV,RHR,18000H WHEEL END CHANGE RHR,DRIV-FIDV,7ERDRIV-FIDVRHR
7ER4050LR,7ER4050LR,4050,LR,773D,7ER,4050 - FINAL DRIVE,LR - LEFT REAR,7ER,TKSR024-DRIV-FIDV,LHR,18000H WHEEL END CHANGE LHR,DRIV-FIDV,7ERDRIV-FIDVLHR
7ER135900,7ER135900,1359,00,773 ST,7ER,1359 - FAN DRIVE,00 - (NONE),7ER,,,15000H ENGINE FAN CHANGE,,
7ER306600,7ER306600,3066,00,773 ST,7ER,3066 - TRANSMISSION OIL PUMP,00 - (NONE),7ER,,,15000H TRANSMISSION PUMP CHANGE,,
7ER310800,7ER310800,3108,00,773 ST,7ER,3108 - PUMP DRIVE GRP,00 - (NONE),7ER,,,10000H PUMP DRIVE CHANGE,,
7ER320400,7ER320400,3204,00,773 ST,7ER,3204 - CHARGE PUMP,00 - (NONE),7ER,,,15000H TORQUE CONVERTER CHARGE PMP CHNG,,
7ER430600,7ER430600,4306,00,773 ST,7ER,4306 - STEERING PUMP,00 - (NONE),7ER,,,6000H STEERING PUMP CHANGE,,
8GB100000,8GB100000,1000,00,785B,8GB,1000 - ENGINE,00 - (NONE),8GB,TKFL001-ENGI,,19800H ENGINE CHANGE,ENGI,8GBENGI
8GB135300,8GB135300,1353,00,785B,8GB,1353 - RADIATOR,00 - (NONE),8GB,TKFL001-ENGI-COSY,,18000H RADIATOR CHANGE,ENGI-COSY,8GBENGI-COSY
8GB303000,8GB303000,3030,00,785B,8GB,3030 - TRANSMISSION,00 - (NONE),8GB,TKFL001-DRIV-TMSN,,16500H TRANSMISSION CHANGE,DRIV-TMSN,8GBDRIV-TMSN
8GB310100,8GB310100,3101,00,785B,8GB,3101 - TORQUE CONVERTER,00 - (NONE),8GB,TKFL001-DRIV-TQCV,,19800H TORQUE CONVERTER CHANGE,DRIV-TQCV,8GBDRIV-TQCV
8GB325800,8GB325800,3258,00,785B,8GB,3258 - DIFFERENTIAL,00 - (NONE),8GB,TKFL001-DRIV-DIFF,,16500H DIFFERENTIAL CHANGE,DRIV-DIFF,8GBDRIV-DIFF
8GB4050LR,8GB4050LR,4050,LR,785B,8GB,4050 - FINAL DRIVE,LR - LEFT REAR,8GB,TKFL001-DRIV-FIDV,LHR,16500H WHEEL END CHANGE LHR,DRIV-FIDV,8GBDRIV-FIDVLHR
8GB4050RR,8GB4050RR,4050,RR,785B,8GB,4050 - FINAL DRIVE,RR - RIGHT REAR,8GB,TKFL001-DRIV-FIDV,RHR,16500H WHEEL END CHANGE RHR,DRIV-FIDV,8GBDRIV-FIDVRHR
8GB4008LR,8GB4008LR,4008,LR,785B,8GB,"4008 - FINAL DRIVE, BRAKE & WHEEL",LR - LEFT REAR,8GB,TKWC034-DRIV-FIDV,,16500H WHEEL END CHANGE LHR,DRIV-FIDV,8GBDRIV-FIDV
8GB4008RR,8GB4008RR,4008,RR,785B,8GB,"4008 - FINAL DRIVE, BRAKE & WHEEL",RR - RIGHT REAR,8GB,TKWC034-DRIV-FIDV,,16500H WHEEL END CHANGE RHR,DRIV-FIDV,8GBDRIV-FIDV
A4M5102LT,A4M5102LT,5102,LT,793D,A4M,5102 - LIFT/HOIST CYLINDER,LT - LEFT,A4M,TKHL286-HYSY-CYHY,LH,20000H HOIST CYLINDER CHANGE LH,HYSY-CYHY,A4MHYSY-CYHYLH
A4M5102RI,A4M5102RI,5102,RI,793D,A4M,5102 - LIFT/HOIST CYLINDER,RI - RIGHT,A4M,TKHL286-HYSY-CYHY,RH,20000H HOIST CYLINDER CHANGE RH,HYSY-CYHY,A4MHYSY-CYHYRH
A4M100000,A4M100000,1000,00,793D,A4M,1000 - ENGINE,00 - (NONE),A4M,TKHL286-ENGI,,17600H ENGINE CHANGE,ENGI,A4MENGI
A4M135300,A4M135300,1353,00,793D,A4M,1353 - RADIATOR,00 - (NONE),A4M,TKHL286-ENGI-COSY,,17600H RADIATOR CHANGE,ENGI-COSY,A4MENGI-COSY
A4M303000,A4M303000,3030,00,793D,A4M,3030 - TRANSMISSION,00 - (NONE),A4M,TKHL286-DRIV-TMSN,,16500H TRANSMISSION CHANGE,DRIV-TMSN,A4MDRIV-TMSN
A4M310100,A4M310100,3101,00,793D,A4M,3101 - TORQUE CONVERTER,00 - (NONE),A4M,TKHL286-DRIV-TQCV,,15400H TORQUE CONVERTER CHANGE,DRIV-TQCV,A4MDRIV-TQCV
A4M325800,A4M325800,3258,00,793D,A4M,3258 - DIFFERENTIAL,00 - (NONE),A4M,TKHL286-DRIV-DIFF,,16500H DIFFERENTIAL CHANGE,DRIV-DIFF,A4MDRIV-DIFF
A4M4050RR,A4M4050RR,4050,RR,793D,A4M,4050 - FINAL DRIVE,RR - RIGHT REAR,A4M,TKHL286-DRIV-FIDV,RHR,19800H WHEEL END CHANGE RHR,DRIV-FIDV,A4MDRIV-FIDVRHR
A4M4050LR,A4M4050LR,4050,LR,793D,A4M,4050 - FINAL DRIVE,LR - LEFT REAR,A4M,TKHL286-DRIV-FIDV,LHR,19800H WHEEL END CHANGE LHR,DRIV-FIDV,A4MDRIV-FIDVLHR
A4W100000,A4W100000,1000,00,854G,A4W,1000 - ENGINE,00 - (NONE),A4W,DZWH002-ENGI,,16500H ENGINE CHANGE,ENGI,A4WENGI
A4W135300,A4W135300,1353,00,854G,A4W,1353 - RADIATOR,00 - (NONE),A4W,DZWH002-ENGI-COSY,,16500H RADIATOR CHANGE,ENGI-COSY,A4WENGI-COSY
A4W303000,A4W303000,3030,00,854G,A4W,3030 - TRANSMISSION,00 - (NONE),A4W,DZWH002-DRIV-TMSN,,13200H TRANSMISSION CHANGE,DRIV-TMSN,A4WDRIV-TMSN
A4W310100,A4W310100,3101,00,854G,A4W,3101 - TORQUE CONVERTER,00 - (NONE),A4W,DZWH002-DRIV-TQCV,,9000H TORQUE CONVERTER CHANGE,DRIV-TQCV,A4WDRIV-TQCV
A4W3258FR,A4W3258FR,3258,FR,854G,A4W,3258 - DIFFERENTIAL,FR - FRONT,A4W,DZWH002-DRIV-DIFF,FR,12000H DIFFERENTIAL CHANGE FR,DRIV-DIFF,A4WDRIV-DIFFFR
A4W3258RE,A4W3258RE,3258,RE,854G,A4W,3258 - DIFFERENTIAL,RE - REAR,A4W,DZWH002-DRIV-DIFF,RR,12000H DIFFERENTIAL CHANGE RR,DRIV-DIFF,A4WDRIV-DIFFRR
A4W4050LF,A4W4050LF,4050,LF,854G,A4W,4050 - FINAL DRIVE,LF - LEFT FRONT,A4W,DZWH002-DRIV-FIDV,LHF,12000H FINAL DRIVE CHANGE LHF,DRIV-FIDV,A4WDRIV-FIDVLHF
A4W4050RF,A4W4050RF,4050,RF,854G,A4W,4050 - FINAL DRIVE,RF - RIGHT FRONT,A4W,DZWH002-DRIV-FIDV,RHF,12000H FINAL DRIVE CHANGE RHF,DRIV-FIDV,A4WDRIV-FIDVRHF
A4W4050RR,A4W4050RR,4050,RR,854G,A4W,4050 - FINAL DRIVE,RR - RIGHT REAR,A4W,DZWH002-DRIV-FIDV,RHR,12000H FINAL DRIVE CHANGE RHR,DRIV-FIDV,A4WDRIV-FIDVRHR
A4W4050LR,A4W4050LR,4050,LR,854G,A4W,4050 - FINAL DRIVE,LR - LEFT REAR,A4W,DZWH002-DRIV-FIDV,LHR,12000H FINAL DRIVE CHANGE LHR,DRIV-FIDV,A4WDRIV-FIDVLHR
A4W507000,A4W507000,5070,00,854G,A4W,5070 - PISTON PUMP,00 - (NONE),A4W,,,,,
A4W511300,A4W511300,5113,00,854G,A4W,5113 - BLADE LIFT CYLINDER,00 - (NONE),A4W,DZWH002-BLAD,,15000H BLADE CHANGE,BLAD,A4WBLAD
A4W310800,A4W310800,3108,00,854G,A4W,3108 - PUMP DRIVE GRP,00 - (NONE),A4W,DZWH002-DRIV,,15000H PUMP DRIVE CHANGE,DRIV,A4WDRIV
A4W325300,A4W325300,3253,00,854G,A4W,3253 - DRIVESHAFT,00 - (NONE),A4W,,,10000H DRIVE SHAFT CHANGE,,
A4W4001LF,A4W4001LF,4001,LF,854G,A4W,4001 - FINAL DRIVE & BRAKE WHEEL,LF - LEFT FRONT,A4W,DZWH002-DRIV-FIDV,,12000H FINAL DRIVE CHANGE LHF,DRIV-FIDV,A4WDRIV-FIDV
A4W4001LR,A4W4001LR,4001,LR,854G,A4W,4001 - FINAL DRIVE & BRAKE WHEEL,LR - LEFT REAR,A4W,DZWH002-DRIV-FIDV,,12000H FINAL DRIVE CHANGE LHR,DRIV-FIDV,A4WDRIV-FIDV
A4W4001RF,A4W4001RF,4001,RF,854G,A4W,4001 - FINAL DRIVE & BRAKE WHEEL,RF - RIGHT FRONT,A4W,DZWH002-DRIV-FIDV,,12000H FINAL DRIVE CHANGE RHF,DRIV-FIDV,A4WDRIV-FIDV
A4W4001RR,A4W4001RR,4001,RR,854G,A4W,4001 - FINAL DRIVE & BRAKE WHEEL,RR - RIGHT REAR,A4W,DZWH002-DRIV-FIDV,,12000H FINAL DRIVE CHANGE RHR,DRIV-FIDV,A4WDRIV-FIDV
A4W4303LT,A4W4303LT,4303,LT,854G,A4W,4303 - STEERING CYLINDER,LT - LEFT,A4W,,,10000H STEERING CYLINDER CHANGE LH,,
A4W4303RI,A4W4303RI,4303,RI,854G,A4W,4303 - STEERING CYLINDER,RI - RIGHT,A4W,,,12000H STEERING CYLINDER CHANGE RH,,
A4W606000,A4W606000,6060,00,854G,A4W,6060 - Blade,00 - (NONE),A4W,DZWH002-BLAD,,15000H BLADE CHANGE,BLAD,A4WBLAD
A7A100000,A7A100000,1000,00,988H,A7A,1000 - ENGINE,00 - (NONE),A7A,LOFE062-ENGI,,14000H ENGINE CHANGE,ENGI,A7AENGI
A7A303000,A7A303000,3030,00,988H,A7A,3030 - TRANSMISSION,00 - (NONE),A7A,LOFE062-DRIV-TMSN,,14000H TRANSMISSION CHANGE,DRIV-TMSN,A7ADRIV-TMSN
A7A310100,A7A310100,3101,00,988H,A7A,3101 - TORQUE CONVERTER,00 - (NONE),A7A,LOFE062-DRIV,,14000H TORQUE CONVERTER CHANGE,DRIV,A7ADRIV
A7A106300,A7A106300,1063,00,988H,A7A,1063 - AFTERCOOLER,00 - (NONE),A7A,,,15000H ENGINE - AFTERCOOLER CHNG,,
A7A137400,A7A137400,1374,00,988H,A7A,1374 - HYDRAULIC OIL COOLER,00 - (NONE),A7A,,,15000H OIL COOLER - HYDRAULIC CHNG,,
A7A138700,A7A138700,1387,00,988H,A7A,1387 - HYDRAULIC FAN PUMP,00 - (NONE),A7A,,,15000H PMP - HYDRAULIC FAN CHNG,,
A7A3258FR,A7A3258FR,3258,FR,988H,A7A,3258 - DIFFERENTIAL,FR - FRONT,A7A,LOFE008-DRIV-DIFF,,14000H DIFFERENTIAL CHANGE FR,DRIV-DIFF,A7ADRIV-DIFF
A7A3258RR,A7A3258RR,3258,RR,988H,A7A,3258 - DIFFERENTIAL,RR - RIGHT REAR,A7A,,,14000H DIFFERENTIAL CHANGE RR,,
A7A4050LF,A7A4050LF,4050,LF,988H,A7A,4050 - FINAL DRIVE,LF - LEFT FRONT,A7A,LOFE008-DRIV-FIDV,,14000H WHEEL END CHANGE LHF,DRIV-FIDV,A7ADRIV-FIDV
A7A4050LR,A7A4050LR,4050,LR,988H,A7A,4050 - FINAL DRIVE,LR - LEFT REAR,A7A,LOFE008-DRIV-FIDV,,14000H WHEEL END CHANGE LHR,DRIV-FIDV,A7ADRIV-FIDV
A7A4050RF,A7A4050RF,4050,RF,988H,A7A,4050 - FINAL DRIVE,RF - RIGHT FRONT,A7A,LOFE008-DRIV-FIDV,,14000H WHEEL END CHANGE RHF,DRIV-FIDV,A7ADRIV-FIDV
A7A4050RR,A7A4050RR,4050,RR,988H,A7A,4050 - FINAL DRIVE,RR - RIGHT REAR,A7A,LOFE008-DRIV-FIDV,,14000H WHEEL END CHANGE RHR,DRIV-FIDV,A7ADRIV-FIDV
A7A4303LT,A7A4303LT,4303,LT,988H,A7A,4303 - STEERING CYLINDER,LT - LEFT,A7A,,,15000H HYD CYLINDER - STEER LH CHNG,,
A7A4303RI,A7A4303RI,4303,RI,988H,A7A,4303 - STEERING CYLINDER,RI - RIGHT,A7A,,,15000H HYD CYLINDER - STEER RH CHNG,,
A7A508400,A7A508400,5084,00,988H,A7A,5084 - IMPLEMENT PUMP,00 - (NONE),A7A,,,15000H IMPLEMENT PUMP CHANGE,,
A7A5102LT,A7A5102LT,5102,LT,988H,A7A,5102 - LIFT/HOIST CYLINDER,LT - LEFT,A7A,,,15000H HYD CYLINDER - HOIST LH CHNG,,
A7A5102RI,A7A5102RI,5102,RI,988H,A7A,5102 - LIFT/HOIST CYLINDER,RI - RIGHT,A7A,,,15000H HYD CYLINDER - HOIST RH CHNG,,
A7A510400,A7A510400,5104,00,988H,A7A,5104 - TILT CYLINDER,00 - (NONE),A7A,,,15000H HYD CYLINDER - BLADE TILT CHNG,,
AGC100000,AGC100000,1000,00,777D,AGC,1000 - ENGINE,00 - (NONE),AGC,TKHL018-ENGI,,20000H ENGINE CHANGE,ENGI,AGCENGI
AGC135300,AGC135300,1353,00,777D,AGC,1353 - RADIATOR,00 - (NONE),AGC,TKHL018-ENGI-COSY,,20000H RADIATOR CHANGE,ENGI-COSY,AGCENGI-COSY
AGC1353FR,AGC1353FR,1353,FR,777D,AGC,1353 - RADIATOR,FR - FRONT,AGC,TKHL021-ENGI-COSY,FR,20000H RADIATOR CHANGE,ENGI-COSY,AGCENGI-COSYFR
AGC303000,AGC303000,3030,00,777D,AGC,3030 - TRANSMISSION,00 - (NONE),AGC,TKHL018-DRIV-TMSN,,16000H TRANSMISSION CHANGE,DRIV-TMSN,AGCDRIV-TMSN
AGC310100,AGC310100,3101,00,777D,AGC,3101 - TORQUE CONVERTER,00 - (NONE),AGC,TKHL018-DRIV-TQCV,,18000H TORQUE CONVERTER CHANGE,DRIV-TQCV,AGCDRIV-TQCV
AGC325800,AGC325800,3258,00,777D,AGC,3258 - DIFFERENTIAL,00 - (NONE),AGC,TKHL018-DRIV-DIFF,,18000H DIFFERENTIAL CHANGE,DRIV-DIFF,AGCDRIV-DIFF
AGC3258RE,AGC3258RE,3258,RE,777D,AGC,3258 - DIFFERENTIAL,RE - REAR,AGC,TKHL021-DRIV-DIFF,RR,18000H DIFFERENTIAL CHANGE,DRIV-DIFF,AGCDRIV-DIFFRR
AGC4008LF,AGC4008LF,4008,LF,777D,AGC,"4008 - FINAL DRIVE, BRAKE & WHEEL",LF - LEFT FRONT,AGC,TKHL018-DRIV-WHGP,LHF,24000H WHEEL GROUP CHANGE LHF,DRIV-WHGP,AGCDRIV-WHGPLHF
AGC4008RF,AGC4008RF,4008,RF,777D,AGC,"4008 - FINAL DRIVE, BRAKE & WHEEL",RF - RIGHT FRONT,AGC,TKHL018-DRIV-WHGP,RHF,24000H WHEEL GROUP CHANGE RHF,DRIV-WHGP,AGCDRIV-WHGPRHF
AGC4008LR,AGC4008LR,4008,LR,777D,AGC,"4008 - FINAL DRIVE, BRAKE & WHEEL",LR - LEFT REAR,AGC,TKHL020-DRIV-FIDV,LHR,18000H WHEEL END CHANGE LHR,DRIV-FIDV,AGCDRIV-FIDVLHR
AGC4008RI,AGC4008RI,4008,RI,777D,AGC,"4008 - FINAL DRIVE, BRAKE & WHEEL",RI - RIGHT,AGC,TKHL021-DRIV-FIDV,RHR,18000H WHEEL END CHANGE RHR,DRIV-FIDV,AGCDRIV-FIDVRHR
AGC4050LR,AGC4050LR,4050,LR,777D,AGC,4050 - FINAL DRIVE,LR - LEFT REAR,AGC,TKHL018-DRIV-FIDV,LHR,18000H WHEEL END CHANGE LHR,DRIV-FIDV,AGCDRIV-FIDVLHR
AGC4050RR,AGC4050RR,4050,RR,777D,AGC,4050 - FINAL DRIVE,RR - RIGHT REAR,AGC,TKHL018-DRIV-FIDV,RHR,18000H WHEEL END CHANGE RHR,DRIV-FIDV,AGCDRIV-FIDVRHR
AGC135900,AGC135900,1359,00,777D,AGC,1359 - FAN DRIVE,00 - (NONE),AGC,,,10000H FAN DRIVE CHANGE,,
AGC1365RR,AGC1365RR,1365,RR,777D,AGC,1365 - BRAKE/AXLE OIL COOLER,RR - RIGHT REAR,AGC,,,18000H BRAKE OIL COOLER CHANGE RR,,
AGC137400,AGC137400,1374,00,777D,AGC,1374 - HYDRAULIC OIL COOLER,00 - (NONE),AGC,,,18000H HYDRAULIC OIL COOLER CHANGE,,
AGC137500,AGC137500,1375,00,777D,AGC,1375 - TORQUE CONVERTER/TRANSMISSION OIL COOLER,00 - (NONE),AGC,,,16000H TRANSMISSION OIL COOLER CHANGE,,
AGC306600,AGC306600,3066,00,777D,AGC,3066 - TRANSMISSION OIL PUMP,00 - (NONE),AGC,,,16000H TRANSMISSION PUMP CHANGE,,
AGC310800,AGC310800,3108,00,777D,AGC,3108 - PUMP DRIVE GRP,00 - (NONE),AGC,EXBH045-PUDR,,18000H PUMP DRIVE CHANGE,PUDR,AGCPUDR
AGC325300,AGC325300,3253,00,777D,AGC,3253 - DRIVESHAFT,00 - (NONE),AGC,,,32000H DRIVESHAFT CHANGE,,
AGC4008RR,AGC4008RR,4008,RR,777D,AGC,"4008 - FINAL DRIVE, BRAKE & WHEEL",RR - RIGHT REAR,AGC,TKHL020-DRIV-FIDV,,18000H WHEEL END CHANGE RHR,DRIV-FIDV,AGCDRIV-FIDV
AGC4261FR,AGC4261FR,4261,FR,777D,AGC,4261 - BRAKE/SLACK ADJUSTER,FR - FRONT,AGC,,,12000H BRAKE SLACK ADJUSTER CHANGE FR,,
AGC4261RR,AGC4261RR,4261,RR,777D,AGC,4261 - BRAKE/SLACK ADJUSTER,RR - RIGHT REAR,AGC,,,12000H BRAKE SLACK ADJUSTER CHANGE RR,,
AGC4303LT,AGC4303LT,4303,LT,777D,AGC,4303 - STEERING CYLINDER,LT - LEFT,AGC,,,12000H STEERING CYLINDER CHANGE LH,,
AGC4303RI,AGC4303RI,4303,RI,777D,AGC,4303 - STEERING CYLINDER,RI - RIGHT,AGC,,,12000H STEERING CYLINDER CHANGE RH,,
AGC430600,AGC430600,4306,00,777D,AGC,4306 - STEERING PUMP,00 - (NONE),AGC,,,12000H STEERING PUMP CHANGE,,
AGC508300,AGC508300,5083,00,777D,AGC,5083 - HYDRAULIC HOIST PUMP,00 - (NONE),AGC,,,18000H HOIST PUMP CHANGE,,
AGC5102LT,AGC5102LT,5102,LT,777D,AGC,5102 - LIFT/HOIST CYLINDER,LT - LEFT,AGC,,,18000H HOIST CYLINDER CHANGE LH,,
AGC5102RI,AGC5102RI,5102,RI,777D,AGC,5102 - LIFT/HOIST CYLINDER,RI - RIGHT,AGC,,,18000H HOIST CYLINDER CHANGE RH,,
AGC7201LF,AGC7201LF,7201,LF,777D,AGC,7201 - SUSPENSION CYLINDER,LF - LEFT FRONT,AGC,TKHL279-SURE-SPSN,,18000H SUSPENSION CYLINDER CHANGE LHF,SURE-SPSN,AGCSURE-SPSN
AGC7201RF,AGC7201RF,7201,RF,777D,AGC,7201 - SUSPENSION CYLINDER,RF - RIGHT FRONT,AGC,TKHL279-SURE-SPSN,,18000H SUSPENSION CYLINDER CHANGE RHF,SURE-SPSN,AGCSURE-SPSN
AGC7213RR,AGC7213RR,7213,RR,777D,AGC,7213 - REAR SUSPENSION CYLINDER,RR - RIGHT REAR,AGC,,,18000H SUSPENSION CYLINDER CHANGE RHR,,
AGC7213LR,AGC7213LR,7213,LR,777D,AGC,7213 - REAR SUSPENSION CYLINDER,LR - LEFT REAR,AGC,,,18000H SUSPENSION CYLINDER CHANGE LHR,,
AMA135300,AMA135300,1353,00,D11T,AMA,1353 - RADIATOR,00 - (NONE),AMA,DZTR082-ENGI,,12000H RADIATOR CHANGE,ENGI,AMAENGI
AMA300600,AMA300600,3006,00,D11T,AMA,3006 - TRANSMISSION & DIFFERENTIAL UNIT,00 - (NONE),AMA,DZTR082-DRIV,,12000H BEVEL & TRANS GEAR CHANGE,DRIV,AMADRIV
AMA303000,AMA303000,3030,00,D11T,AMA,3030 - TRANSMISSION,00 - (NONE),AMA,DZTR082-DRIV-TMSN,,12000H TRANSMISSION CHANGE,DRIV-TMSN,AMADRIV-TMSN
AMA310100,AMA310100,3101,00,D11T,AMA,3101 - TORQUE CONVERTER,00 - (NONE),AMA,DZTR082-DRIV-TQCV,,12000H TORQUE CONVERTER CHANGE,DRIV-TQCV,AMADRIV-TQCV
AMA4050RI,AMA4050RI,4050,RI,D11T,AMA,4050 - FINAL DRIVE,RI - RIGHT,AMA,DZTR082-DRIV-FIDV,RH,12000H FINAL DRIVE CHANGE RH,DRIV-FIDV,AMADRIV-FIDVRH
AMA4050LT,AMA4050LT,4050,LT,D11T,AMA,4050 - FINAL DRIVE,LT - LEFT,AMA,DZTR082-DRIV-FIDV,LH,12000H FINAL DRIVE CHANGE LH,DRIV-FIDV,AMADRIV-FIDVLH
AMA4100LT,AMA4100LT,4100,LT,D11T,AMA,4100 - STEERING CLUTCH & BRAKE,LT - LEFT,AMA,DZTR082-DRIV-SCAB,LH,13000H STEERING & BRAKE CLUTCH CHANGE LH,DRIV-SCAB,AMADRIV-SCABLH
AMA4100RI,AMA4100RI,4100,RI,D11T,AMA,4100 - STEERING CLUTCH & BRAKE,RI - RIGHT,AMA,DZTR082-DRIV-SCAB,RH,13000H STEERING & BRAKE CLUTCH CHANGE RH,DRIV-SCAB,AMADRIV-SCABRH
AMA100000,AMA100000,1000,00,D11T,AMA,1000 - ENGINE,00 - (NONE),AMA,DZTR089-ENGI,,12000H ENGINE CHANGE,ENGI,AMAENGI
AMA1063LT,AMA1063LT,1063,LT,D11T,AMA,1063 - AFTERCOOLER,LT - LEFT,AMA,,,12000H AFTERCOOLER CHANGE LH,,
AMA1063RI,AMA1063RI,1063,RI,D11T,AMA,1063 - AFTERCOOLER,RI - RIGHT,AMA,,,12000H AFTERCOOLER CHANGE RH,,
AMA125600,AMA125600,1256,00,D11T,AMA,1256 - FUEL TRANSFER PUMP,00 - (NONE),AMA,,,7000H FUEL TRANSFER PUMP CHANGE,,
AMA135600,AMA135600,1356,00,D11T,AMA,1356 - FAN,00 - (NONE),AMA,,,24000H ENGINE FAN CHANGE,,
AMA138600,AMA138600,1386,00,D11T,AMA,1386 - HYDRAULIC FAN MOTOR,00 - (NONE),AMA,,,12000H FAN MOTOR CHANGE,,
AMA138700,AMA138700,1387,00,D11T,AMA,1387 - HYDRAULIC FAN PUMP,00 - (NONE),AMA,,,12000H FAN PUMP CHANGE,,
AMA301100,AMA301100,3011,00,D11T,AMA,3011 - BEVEL & TRANSFER GEARS,00 - (NONE),AMA,DZTR082-DRIV,,12000H BEVEL & TRANS GEAR CHANGE,DRIV,AMADRIV
AMA306600,AMA306600,3066,00,D11T,AMA,3066 - TRANSMISSION OIL PUMP,00 - (NONE),AMA,,,7000H TRANSMISSION PUMP CHANGE,,
AMA325300,AMA325300,3253,00,D11T,AMA,3253 - DRIVESHAFT,00 - (NONE),AMA,,,14000H DRIVE SHAFT CHANGE,,
AMA4151LT,AMA4151LT,4151,LT,D11T,AMA,4151 - TRACK ROLLER FRAME,LT - LEFT,AMA,,,12000H TRACK FRAME ASSEMBLY LH,,
AMA4151RI,AMA4151RI,4151,RI,D11T,AMA,4151 - TRACK ROLLER FRAME,RI - RIGHT,AMA,,,12000H TRACK FRAME ASSEMBLY RH,,
AMA4170LT,AMA4170LT,4170,LT,D11T,AMA,4170 - TRACK ASSEMBLY,LT - LEFT,AMA,,,3000H TRACK CHANGE LH,,
AMA4170RI,AMA4170RI,4170,RI,D11T,AMA,4170 - TRACK ASSEMBLY,RI - RIGHT,AMA,,,3000H TRACK CHANGE RH,,
