AMT Concat,Concat Code,Comp Code,Mod Code,AMT Model,AMT Serial Prefix,AMT Component Code,AMT Modifier Code,MacMahon Serial Prefix,Functional Location,Position Code,Maintenance Item Description,Functional Location Code,Customer data Concat
EXD310100,EXD310100,3101,00,773F,EXD,3101 - TORQUE CONVERTER,00 - (NONE),EXD,TKWC041-DRIV-TQCV,,20000H TORQUE CONVERTER CHANGE,DRIV-TQCV,EXDDRIV-TQCV
EXD325800,EXD325800,3258,00,773F,EXD,3258 - DIFFERENTIAL,00 - (NONE),EXD,TKWC041-DRIV-DIFF,,18000H DIFFERENTIAL CHANGE,DRIV-DIFF,EXDDRIV-DIFF
EXD4050RR,EXD4050RR,4050,RR,773F,EXD,4050 - FINAL DRIVE,RR - RIGHT REAR,EXD,TKWC041-DRIV-FIDV,RHR,18000H WHEEL END CHANGE RHR,DRIV-FIDV,EXDDRIV-FIDVRHR
EXD4050LR,EXD4050LR,4050,LR,773F,EXD,4050 - FINAL DRIVE,LR - LEFT REAR,EXD,TKWC041-DRIV-FIDV,LHR,18000H WHEEL END CHANGE LHR,DRIV-FIDV,EXDDRIV-FIDVLHR
FAR4050LT,FAR4050LT,4050,LT,336DL,FAR,4050 - FINAL DRIVE,LT - LEFT,FAR,EXRB005-UCRG-FIDV,LH,10000H FINAL DRIVE CHANGE LH,UCRG-FIDV,FARUCRG-FIDVLH
FAR4050RI,FAR4050RI,4050,RI,336DL,FAR,4050 - FINAL DRIVE,RI - RIGHT,FAR,EXRB005-UCRG-FIDV,RH,10000H FINAL DRIVE CHANGE RH,UCRG-FIDV,FARUCRG-FIDVRH
FAR4170LT,FAR4170LT,4170,LT,336DL,FAR,4170 - TRACK ASSEMBLY,LT - LEFT,FAR,EXRB005-TCKS,LH,6000H TRACK CHANGE LH,TCKS,FARTCKSLH
FAR4170RI,FAR4170RI,4170,RI,336DL,FAR,4170 - TRACK ASSEMBLY,RI - RIGHT,FAR,EXRB005-TCKS,RH,6000H TRACK CHANGE RH,TCKS,FARTCKSRH
FAR5456LT,FAR5456LT,5456,LT,336DL,FAR,5456 - BOOM CYLINDER,LT - LEFT,FAR,EXRB005-HYSY-CYHY,,8000H BOOM CYLINDER CHANGE LH,HYSY-CYHY,FARHYSY-CYHY
FAR5456RI,FAR5456RI,5456,RI,336DL,FAR,5456 - BOOM CYLINDER,RI - RIGHT,FAR,EXRB005-HYSY-CYHY,,8000H BOOM CYLINDER CHANGE RH,HYSY-CYHY,FARHYSY-CYHY
FAR545700,FAR545700,5457,00,336DL,FAR,5457 - BUCKET CYLINDER,00 - (NONE),FAR,EXBH080-HYSY-CYHY,,8000H BUCKET CYLINDER CHANGE,HYSY-CYHY,FARHYSY-CYHY
FAR545800,FAR545800,5458,00,336DL,FAR,5458 - STICK CYLINDER,00 - (NONE),FAR,EXRB005-HYSY-CYHY,,8000H STICK CYLINDER CHANGE,HYSY-CYHY,FARHYSY-CYHY
FDB100000,FDB100000,1000,00,793D,FDB,1000 - ENGINE,00 - (NONE),FDB,TKHL111-ENGI,,17600H ENGINE CHANGE,ENGI,FDBENGI
FDB135300,FDB135300,1353,00,793D,FDB,1353 - RADIATOR,00 - (NONE),FDB,TKHL111-ENGI-COSY,,17600H RADIATOR CHANGE,ENGI-COSY,FDBENGI-COSY
FDB303000,FDB303000,3030,00,793D,FDB,3030 - TRANSMISSION,00 - (NONE),FDB,TKHL111-DRIV-TMSN,,16500H TRANSMISSION CHANGE,DRIV-TMSN,FDBDRIV-TMSN
FDB310100,FDB310100,3101,00,793D,FDB,3101 - TORQUE CONVERTER,00 - (NONE),FDB,TKHL111-DRIV-TQCV,,15400H TORQUE CONVERTER CHANGE,DRIV-TQCV,FDBDRIV-TQCV
FDB325800,FDB325800,3258,00,793D,FDB,3258 - DIFFERENTIAL,00 - (NONE),FDB,TKHL111-DRIV-DIFF,,16500H DIFFERENTIAL CHANGE,DRIV-DIFF,FDBDRIV-DIFF
FDB4008LR,FDB4008LR,4008,LR,793D,FDB,"4008 - FINAL DRIVE, BRAKE & WHEEL",LR - LEFT REAR,FDB,TKHL115-DRIV-FIDV,LHR,19800H WHEEL END CHANGE LHR,DRIV-FIDV,FDBDRIV-FIDVLHR
FDB4008RI,FDB4008RI,4008,RI,793D,FDB,"4008 - FINAL DRIVE, BRAKE & WHEEL",RI - RIGHT,FDB,TKHL123-DRIV-FIDV,RHR,19800H WHEEL END CHANGE RHR,DRIV-FIDV,FDBDRIV-FIDVRHR
FDB4050RR,FDB4050RR,4050,RR,793D,FDB,4050 - FINAL DRIVE,RR - RIGHT REAR,FDB,TKHL111-DRIV-FIDV,RHR,19800H WHEEL END CHANGE RHR,DRIV-FIDV,FDBDRIV-FIDVRHR
FDB4050LR,FDB4050LR,4050,LR,793D,FDB,4050 - FINAL DRIVE,LR - LEFT REAR,FDB,TKHL111-DRIV-FIDV,LHR,19800H WHEEL END CHANGE LHR,DRIV-FIDV,FDBDRIV-FIDVLHR
FDB5102LT,FDB5102LT,5102,LT,793D,FDB,5102 - LIFT/HOIST CYLINDER,LT - LEFT,FDB,TKHL111-HYSY-CYHY,LH,20000H HOIST CYLINDER CHANGE LH,HYSY-CYHY,FDBHYSY-CYHYLH
FDB5102RI,FDB5102RI,5102,RI,793D,FDB,5102 - LIFT/HOIST CYLINDER,RI - RIGHT,FDB,TKHL111-HYSY-CYHY,RH,20000H HOIST CYLINDER CHANGE RH,HYSY-CYHY,FDBHYSY-CYHYRH
