CONCAT(XREF),MODEL,AMT COMPONENT CODE,MACA/Downer,CONCAT AMT
773E1063 - AFTERCOOLER-BT- BOTTOM,773E,1063 - AFTERCOOLER-BT- BOTTOM,11000.BT.CNC.0 After cooler,773E11000.BT.CNC.0 After cooler
773E1063 - AFTERCOOLER-TP - TOP,773E,1063 - AFTERCOOLER-TP - TOP,11000.TP.CNC.0 After cooler,773E11000.TP.CNC.0 After cooler
773E1374 - HYDRAULIC OIL COOLER-00 - (NONE),773E,1374 - HYDRAULIC OIL COOLER-00 - (NONE),15103.0.CNC.0 Hydraulic Oil Cooler,773E15103.0.CNC.0 Hydraulic Oil Cooler
773E5070 - PISTON PUMP-LT - LEFT,773E,5070 - PISTON PUMP-LT - LEFT,15316.LH.CNC.0 Main Pump,773E15316.LH.CNC.0 Main Pump
773E5070 - PISTON PUMP-RI - RIGHT,773E,5070 - PISTON PUMP-RI - RIGHT,15316.RH.CNC.0 Main Pump,773E15316.RH.CNC.0 Main Pump
773E4151 - TRACK ROLLER FRAME-LT - LEFT,773E,4151 - TRACK ROLLER FRAME-LT - LEFT,18006.LH.CCNP.0 Track Frame,773E18006.LH.CCNP.0 Track Frame
773E4151 - TRACK ROLLER FRAME-RI - RIGHT,773E,4151 - TRACK ROLLER FRAME-RI - RIGHT,18006.RH.CCNP.0 Track Frame,773E18006.RH.CCNP.0 Track Frame
773E4180 - TRACK ROLLER-L01 - LEFT NO. 01,773E,4180 - TRACK ROLLER-L01 - LEFT NO. 01,18101.L01.CNCNP.0 Load Roller,773E18101.L01.CNCNP.0 Load Roller
773E4180 - TRACK ROLLER-L02 - LEFT NO. 02,773E,4180 - TRACK ROLLER-L02 - LEFT NO. 02,18101.L02.CNCNP.0 Load Roller,773E18101.L02.CNCNP.0 Load Roller
773E4180 - TRACK ROLLER-L03 - LEFT NO. 03,773E,4180 - TRACK ROLLER-L03 - LEFT NO. 03,18101.L03.CNCNP.0 Load Roller,773E18101.L03.CNCNP.0 Load Roller
773E4180 - TRACK ROLLER-L04 - LEFT NO. 04,773E,4180 - TRACK ROLLER-L04 - LEFT NO. 04,18101.L04.CNCNP.0 Load Roller,773E18101.L04.CNCNP.0 Load Roller
773E4180 - TRACK ROLLER-L05 - LEFT NO. 05,773E,4180 - TRACK ROLLER-L05 - LEFT NO. 05,18101.L05.CNCNP.0 Load Roller,773E18101.L05.CNCNP.0 Load Roller
773E4180 - TRACK ROLLER-L06 - LEFT NO. 06,773E,4180 - TRACK ROLLER-L06 - LEFT NO. 06,18101.L06.CNCNP.0 Load Roller,773E18101.L06.CNCNP.0 Load Roller
773E4180 - TRACK ROLLER-L07 - LEFT NO. 07,773E,4180 - TRACK ROLLER-L07 - LEFT NO. 07,18101.L07.CNCNP.0 Load Roller,773E18101.L07.CNCNP.0 Load Roller
773E4180 - TRACK ROLLER-L08 - LEFT NO. 08,773E,4180 - TRACK ROLLER-L08 - LEFT NO. 08,18101.L08.CNCNP.0 Load Roller,773E18101.L08.CNCNP.0 Load Roller
773E4180 - TRACK ROLLER-R01 - RIGHT NO.01,773E,4180 - TRACK ROLLER-R01 - RIGHT NO.01,18101.R01.CNCNP.0 Load Roller,773E18101.R01.CNCNP.0 Load Roller
