CONCAT(XREF),MODEL,AMT COMPONENT CODE,MACA/Downer,CONCAT AMT
980K5102 - LIFT/HOIST CYLINDER-LT - LEFT,980K,5102 - LIFT/HOIST CYLINDER-LT - LEFT,15022.LH.CNCNP.0 Lift Cylinder,980K15022.LH.CNCNP.0 Lift Cylinder
980K5102 - LIFT/HOIST CYLINDER-RI - RIGHT,980K,5102 - LIFT/HOIST CYLINDER-RI - RIGHT,15022.RH.CNCNP.0 Lift Cylinder,980K15022.RH.CNCNP.0 Lift Cylinder
980K5104 - TILT CYLINDER-LT - LEFT,980K,5104 - TILT CYLINDER-LT - LEFT,15031.LH.CNCNP.0 Tilt Cylinder,980K15031.LH.CNCNP.0 Tilt Cylinder
980K5104 - TILT CYLINDER-RI - RIGHT,980K,5104 - TILT CYLINDER-RI - RIGHT,15031.RH.CNCNP.0 Tilt Cylinder,980K15031.RH.CNCNP.0 Tilt Cylinder
980K5070 - PISTON PUMP-00 - (NONE),980K,5070 - PISTON PUMP-00 - (NONE),15316.0.CNCNP.0 Main Pump,980K15316.0.CNCNP.0 Main Pump
980K4306 - STEERING PUMP-00 - (NONE),980K,4306 - STEERING PUMP-00 - (NONE),15332.0.CNCNP.0 Steering Pump,980K15332.0.CNCNP.0 Steering Pump
980K4324 - SECONDARY STEERING PUMP-00 - (NONE),980K,4324 - SECONDARY STEERING PUMP-00 - (NONE),15333.0.CNCNP.0 Supplementary Steering Pump,980K15333.0.CNCNP.0 Supplementary Steering Pump
980K3066 - TRANSMISSION OIL PUMP-00 - (NONE),980K,3066 - TRANSMISSION OIL PUMP-00 - (NONE),15339.0.CNCNP.0 Transmission Pump,980K15339.0.CNCNP.0 Transmission Pump
980K5085 - PILOT PUMP-00 - (NONE),980K,5085 - PILOT PUMP-00 - (NONE),15344.0.CNCNP.0 Pilot Pump,980K15344.0.CNCNP.0 Pilot Pump
980K,980K,,16108.0.CCNP.0 Bucket - Reserve Strategy (Change Out ONLY),980K16108.0.CCNP.0 Bucket - Reserve Strategy (Change Out ONLY)
980K,980K,,16128.0.CNCNP.0 Bucket / Body / Blade (Refurb / Re-line ONLY),980K16128.0.CNCNP.0 Bucket / Body / Blade (Refurb / Re-line ONLY)
980K,980K,,17502.0.CCNP.0 Articulation,980K17502.0.CCNP.0 Articulation
980K4303 - STEERING CYLINDER-LT - LEFT,980K,4303 - STEERING CYLINDER-LT - LEFT,15026.LH.CNC.0 Steering Cylinder,980K15026.LH.CNC.0 Steering Cylinder
980K4303 - STEERING CYLINDER-RI - RIGHT,980K,4303 - STEERING CYLINDER-RI - RIGHT,15026.RH.CNC.0 Steering Cylinder,980K15026.RH.CNC.0 Steering Cylinder
980K1052 - TURBOCHARGER-00 - (NONE),980K,1052 - TURBOCHARGER-00 - (NONE),11009.0.CNCNP.0 Turbocharger,980K11009.0.CNCNP.0 Turbocharger
980K,980K,,11309.0.CNCNP.0 Injectors,980K11309.0.CNCNP.0 Injectors
980K4050 - FINAL DRIVE-LF - LEFT FRONT,980K,4050 - FINAL DRIVE-LF - LEFT FRONT,13010.FL.CCNP.0 Final Drive,980K13010.FL.CCNP.0 Final Drive
980K4050 - FINAL DRIVE-RF - RIGHT FRONT,980K,4050 - FINAL DRIVE-RF - RIGHT FRONT,13010.FR.CCNP.0 Final Drive,980K13010.FR.CCNP.0 Final Drive
980K4050 - FINAL DRIVE-LR - LEFT REAR,980K,4050 - FINAL DRIVE-LR - LEFT REAR,13010.RL.CCNP.0 Final Drive,980K13010.RL.CCNP.0 Final Drive
980K4050 - FINAL DRIVE-RR - RIGHT REAR,980K,4050 - FINAL DRIVE-RR - RIGHT REAR,13010.RR.CCNP.0 Final Drive,980K13010.RR.CCNP.0 Final Drive
980K4006 - WHEEL & BRAKE ASSEMBLY-LF - LEFT FRONT,980K,4006 - WHEEL & BRAKE ASSEMBLY-LF - LEFT FRONT,13013.FL.CNCNP.0 Wheel Bearings,980K13013.FL.CNCNP.0 Wheel Bearings
980K4006 - WHEEL & BRAKE ASSEMBLY-RF - RIGHT FRONT,980K,4006 - WHEEL & BRAKE ASSEMBLY-RF - RIGHT FRONT,13013.FR.CNCNP.0 Wheel Bearings,980K13013.FR.CNCNP.0 Wheel Bearings
980K,980K,,13013.RL.CNCNP.0 Wheel Bearings,980K13013.RL.CNCNP.0 Wheel Bearings
980K,980K,,13013.RR.CNCNP.0 Wheel Bearings,980K13013.RR.CNCNP.0 Wheel Bearings
980K,980K,,13411.0.CCNP.0 Transmission/Torque Converter,980K13411.0.CCNP.0 Transmission/Torque Converter
980K4251 - SERVICE BRAKE-LF - LEFT FRONT,980K,4251 - SERVICE BRAKE-LF - LEFT FRONT,14001.FL.CNCNP.0 Brake,980K14001.FL.CNCNP.0 Brake
980K4251 - SERVICE BRAKE-RF - RIGHT FRONT,980K,4251 - SERVICE BRAKE-RF - RIGHT FRONT,14001.FR.CNCNP.0 Brake,980K14001.FR.CNCNP.0 Brake
980K4251 - SERVICE BRAKE-LR - LEFT REAR,980K,4251 - SERVICE BRAKE-LR - LEFT REAR,14001.RL.CNCNP.0 Brake,980K14001.RL.CNCNP.0 Brake
980K4251 - SERVICE BRAKE-RR - RIGHT REAR,980K,4251 - SERVICE BRAKE-RR - RIGHT REAR,14001.RR.CNCNP.0 Brake,980K14001.RR.CNCNP.0 Brake
980K5104 - TILT CYLINDER-00 - (NONE),980K,5104 - TILT CYLINDER-00 - (NONE),15031.0.CNCNP.0 Tilt Cylinder,980K15031.0.CNCNP.0 Tilt Cylinder
980K4267 - PARKING BRAKE-00 - (NONE),980K,4267 - PARKING BRAKE-00 - (NONE),14019.0.CNC.0 Park Brake,980K14019.0.CNC.0 Park Brake
980K5102 - LIFT/HOIST CYLINDER-LT - LEFT,980K,5102 - LIFT/HOIST CYLINDER-LT - LEFT,15022.LH.CCNP.0 Lift Cylinder,980K15022.LH.CCNP.0 Lift Cylinder
980K5102 - LIFT/HOIST CYLINDER-RI - RIGHT,980K,5102 - LIFT/HOIST CYLINDER-RI - RIGHT,15022.RH.CCNP.0 Lift Cylinder,980K15022.RH.CCNP.0 Lift Cylinder
980K5104 - TILT CYLINDER-00 - (NONE),980K,5104 - TILT CYLINDER-00 - (NONE),15031.0.CCNP.0 Tilt Cylinder,980K15031.0.CCNP.0 Tilt Cylinder
980K1374 - HYDRAULIC OIL COOLER-00 - (NONE),980K,1374 - HYDRAULIC OIL COOLER-00 - (NONE),15103.0.CNCNP.0 Hydraulic Oil Cooler,980K15103.0.CNCNP.0 Hydraulic Oil Cooler
980K4324 - SECONDARY STEERING PUMP-00 - (NONE),980K,4324 - SECONDARY STEERING PUMP-00 - (NONE),15333.0.CC.0 Supplementary Steering Pump,980K15333.0.CC.0 Supplementary Steering Pump
980K5085 - PILOT PUMP-00 - (NONE),980K,5085 - PILOT PUMP-00 - (NONE),15344.0.CC.0 Pilot Pump,980K15344.0.CC.0 Pilot Pump
980K,980K,,16108.0.CC.0 Bucket - Reserve Strategy (Change Out ONLY),980K16108.0.CC.0 Bucket - Reserve Strategy (Change Out ONLY)
980K5070 - PISTON PUMP-00 - (NONE),980K,5070 - PISTON PUMP-00 - (NONE),15316.0.CC.0 Main Pump,980K15316.0.CC.0 Main Pump
980K4306 - STEERING PUMP-00 - (NONE),980K,4306 - STEERING PUMP-00 - (NONE),15332.0.CC.0 Steering Pump,980K15332.0.CC.0 Steering Pump
980K3066 - TRANSMISSION OIL PUMP-00 - (NONE),980K,3066 - TRANSMISSION OIL PUMP-00 - (NONE),15339.0.CC.0 Transmission Pump,980K15339.0.CC.0 Transmission Pump
980K4303 - STEERING CYLINDER-LT - LEFT,980K,4303 - STEERING CYLINDER-LT - LEFT,15026.LH.CC.0 Steering Cylinder,980K15026.LH.CC.0 Steering Cylinder
980K4303 - STEERING CYLINDER-RI - RIGHT,980K,4303 - STEERING CYLINDER-RI - RIGHT,15026.RH.CC.0 Steering Cylinder,980K15026.RH.CC.0 Steering Cylinder
980K1353 - RADIATOR-00 - (NONE),980K,1353 - RADIATOR-00 - (NONE),11105.0.CC.0 Radiator,980K11105.0.CC.0 Radiator
980K,980K,,13022.BF.CNCNP.0 Cooler Axle,980K13022.BF.CNCNP.0 Cooler Axle
980K,980K,,13022.RE.CNCNP.0 Cooler Axle,980K13022.RE.CNCNP.0 Cooler Axle
980K,980K,,13022.TF.CNCNP.0 Cooler Axle,980K13022.TF.CNCNP.0 Cooler Axle
980K1375 - TORQUE CONVERTER/TRANSMISSION OIL COOLER-00 - (NONE),980K,1375 - TORQUE CONVERTER/TRANSMISSION OIL COOLER-00 - (NONE),13409.0.CNCNP.0 Transmission Oil Cooler,980K13409.0.CNCNP.0 Transmission Oil Cooler
980K4263 - BRAKE ACCUMULATOR-FR - FRONT,980K,4263 - BRAKE ACCUMULATOR-FR - FRONT,14002.FT.CNCNP.0 Brake Accumulator,980K14002.FT.CNCNP.0 Brake Accumulator
980K4263 - BRAKE ACCUMULATOR-RE - REAR,980K,4263 - BRAKE ACCUMULATOR-RE - REAR,14002.RE.CNCNP.0 Brake Accumulator,980K14002.RE.CNCNP.0 Brake Accumulator
980K4346 - STEERING OIL COOLER-00 - (NONE),980K,4346 - STEERING OIL COOLER-00 - (NONE),14112.0.CNCNP.0 Steering Oil Cooler,980K14112.0.CNCNP.0 Steering Oil Cooler
980K,980K,,15133.LH.CNCNP.0 Ride Control Accumulator,980K15133.LH.CNCNP.0 Ride Control Accumulator
980K,980K,,15133.RH.CNCNP.0 Ride Control Accumulator,980K15133.RH.CNCNP.0 Ride Control Accumulator
980K,980K,,16128.0.CNC.0 Bucket / Body / Blade (Refurb / Re-line ONLY),980K16128.0.CNC.0 Bucket / Body / Blade (Refurb / Re-line ONLY)
980K,980K,,13008.0.CC.0 Differential Trunnion Bearing,980K13008.0.CC.0 Differential Trunnion Bearing
980K89GJ - HYDRAULIC COOLING FAN MOTOR-00 - (NONE),980K,89GJ - HYDRAULIC COOLING FAN MOTOR-00 - (NONE),15205.0.CC.0 Hydraulic Cooling Fan Motor,980K15205.0.CC.0 Hydraulic Cooling Fan Motor
980K4268 - BRAKE PUMP-00 - (NONE),980K,4268 - BRAKE PUMP-00 - (NONE),15304.0.CC.0 Brake Pump,980K15304.0.CC.0 Brake Pump
980K508C - HYDRAULIC COOLING PUMP-00 - (NONE),980K,508C - HYDRAULIC COOLING PUMP-00 - (NONE),15313.0.CC.0 Hydraulic Cooling Fan Pump,980K15313.0.CC.0 Hydraulic Cooling Fan Pump
980K4341 - STEERING COOLER PUMP-00 - (NONE),980K,4341 - STEERING COOLER PUMP-00 - (NONE),15331.0.CC.0 Steering Cooling Pump,980K15331.0.CC.0 Steering Cooling Pump
980K3297 - AXLE OIL COOLER PUMP-00 - (NONE),980K,3297 - AXLE OIL COOLER PUMP-00 - (NONE),15355.0.CC.0 Axle Cooling Pump,980K15355.0.CC.0 Axle Cooling Pump
980K3297 - AXLE OIL COOLER PUMP-00 - (NONE),980K,3297 - AXLE OIL COOLER PUMP-00 - (NONE),15355.FR.CC.0 Axle Cooling Pump,980K15355.FR.CC.0 Axle Cooling Pump
980K3297 - AXLE OIL COOLER PUMP-00 - (NONE),980K,3297 - AXLE OIL COOLER PUMP-00 - (NONE),15355.RE.CC.0 Axle Cooling Pump,980K15355.RE.CC.0 Axle Cooling Pump
980K1000 - ENGINE-00 - (NONE),980K,1000 - ENGINE-00 - (NONE),11204.0.CC.0 Engine,980K11204.0.CC.0 Engine
980K3258 - DIFFERENTIAL-FR - FRONT,980K,3258 - DIFFERENTIAL-FR - FRONT,13004.FT.CC.0 Differential,980K13004.FT.CC.0 Differential
980K3258 - DIFFERENTIAL-RE - REAR,980K,3258 - DIFFERENTIAL-RE - REAR,13004.RE.CC.0 Differential,980K13004.RE.CC.0 Differential
980K,980K,,13014.FL.CC.0 Wheel Group,980K13014.FL.CC.0 Wheel Group
980K,980K,,13014.FR.CC.0 Wheel Group,980K13014.FR.CC.0 Wheel Group
"980K4008 - FINAL DRIVE, BRAKE & WHEEL-LR - LEFT REAR",980K,"4008 - FINAL DRIVE, BRAKE & WHEEL-LR - LEFT REAR",13014.RL.CC.0 Wheel Group,980K13014.RL.CC.0 Wheel Group
"980K4008 - FINAL DRIVE, BRAKE & WHEEL-RR - RIGHT REAR",980K,"4008 - FINAL DRIVE, BRAKE & WHEEL-RR - RIGHT REAR",13014.RR.CC.0 Wheel Group,980K13014.RR.CC.0 Wheel Group
980K5104 - TILT CYLINDER-LT - LEFT,980K,5104 - TILT CYLINDER-LT - LEFT,15031.LH.CCNP.0 Tilt Cylinder,980K15031.LH.CCNP.0 Tilt Cylinder
980K5104 - TILT CYLINDER-RI - RIGHT,980K,5104 - TILT CYLINDER-RI - RIGHT,15031.RH.CCNP.0 Tilt Cylinder,980K15031.RH.CCNP.0 Tilt Cylinder
980K3101 - TORQUE CONVERTER-00 - (NONE),980K,3101 - TORQUE CONVERTER-00 - (NONE),13400.0.CC.0 Torque Converter,980K13400.0.CC.0 Torque Converter
980K3030 - TRANSMISSION-00 - (NONE),980K,3030 - TRANSMISSION-00 - (NONE),13403.0.CC.0 Transmission,980K13403.0.CC.0 Transmission
980K1374 - HYDRAULIC OIL COOLER-LT - LEFT,980K,1374 - HYDRAULIC OIL COOLER-LT - LEFT,15103.LH.CNC.0 Hydraulic Oil Cooler,980K15103.LH.CNC.0 Hydraulic Oil Cooler
980K1374 - HYDRAULIC OIL COOLER-RI - RIGHT,980K,1374 - HYDRAULIC OIL COOLER-RI - RIGHT,15103.RH.CNC.0 Hydraulic Oil Cooler,980K15103.RH.CNC.0 Hydraulic Oil Cooler
980K325A - DRIVE COUPLING-00 - (NONE),980K,325A - DRIVE COUPLING-00 - (NONE),13102.0.CNCNP.0 Drive Coupling,980K13102.0.CNCNP.0 Drive Coupling
980K1052 - TURBOCHARGER-LT - LEFT,980K,1052 - TURBOCHARGER-LT - LEFT,11009.LH.CNCNP.0 Turbocharger,980K11009.LH.CNCNP.0 Turbocharger
980K1052 - TURBOCHARGER-RI - RIGHT,980K,1052 - TURBOCHARGER-RI - RIGHT,11009.RH.CNCNP.0 Turbocharger,980K11009.RH.CNCNP.0 Turbocharger
980K1365 - BRAKE/AXLE OIL COOLER-RE - REAR,980K,1365 - BRAKE/AXLE OIL COOLER-RE - REAR,14015.RE.CNCNP.0 Brake Oil Cooler,980K14015.RE.CNCNP.0 Brake Oil Cooler
980K4006 - WHEEL & BRAKE ASSEMBLY-LF - LEFT FRONT,980K,4006 - WHEEL & BRAKE ASSEMBLY-LF - LEFT FRONT,13013.FL.CNC.0 Wheel Bearings,980K13013.FL.CNC.0 Wheel Bearings
980K4006 - WHEEL & BRAKE ASSEMBLY-RF - RIGHT FRONT,980K,4006 - WHEEL & BRAKE ASSEMBLY-RF - RIGHT FRONT,13013.FR.CNC.0 Wheel Bearings,980K13013.FR.CNC.0 Wheel Bearings
980K,980K,,13416.0.CCNP.0 Transmission Module,980K13416.0.CCNP.0 Transmission Module
980K,980K,,13008.0.CNC.0 Differential Trunnion Bearing,980K13008.0.CNC.0 Differential Trunnion Bearing
988H1353 - RADIATOR-00 - (NONE),988H,1353 - RADIATOR-00 - (NONE),11105.0.CCNP.0 Radiator,988H11105.0.CCNP.0 Radiator
988H1000 - ENGINE-00 - (NONE),988H,1000 - ENGINE-00 - (NONE),11204.0.CCNP.0 Engine,988H11204.0.CCNP.0 Engine
988H,988H,,11205.0.CCNP.0 Engine Mid-Life,988H11205.0.CCNP.0 Engine Mid-Life
988H3258 - DIFFERENTIAL-FR - FRONT,988H,3258 - DIFFERENTIAL-FR - FRONT,13004.FT.CCNP.0 Differential,988H13004.FT.CCNP.0 Differential
988H3258 - DIFFERENTIAL-RE - REAR,988H,3258 - DIFFERENTIAL-RE - REAR,13004.RE.CCNP.0 Differential,988H13004.RE.CCNP.0 Differential
,988H,4050 - FINAL DRIVE-LF - LEFT FRONT,13014.FL.CCNP.0 Wheel Group,988H13014.FL.CCNP.0 Wheel Group
,988H,4050 - FINAL DRIVE-RF - RIGHT FRONT,13014.FR.CCNP.0 Wheel Group,988H13014.FR.CCNP.0 Wheel Group
988H4050 - FINAL DRIVE-LR - LEFT REAR,988H,4050 - FINAL DRIVE-LR - LEFT REAR,13014.RL.CCNP.0 Wheel Group,988H13014.RL.CCNP.0 Wheel Group
988H4050 - FINAL DRIVE-RR - RIGHT REAR,988H,4050 - FINAL DRIVE-RR - RIGHT REAR,13014.RR.CCNP.0 Wheel Group,988H13014.RR.CCNP.0 Wheel Group
988H3101 - TORQUE CONVERTER-00 - (NONE),988H,3101 - TORQUE CONVERTER-00 - (NONE),13400.0.CCNP.0 Torque Converter,988H13400.0.CCNP.0 Torque Converter
988H3030 - TRANSMISSION-00 - (NONE),988H,3030 - TRANSMISSION-00 - (NONE),13403.0.CCNP.0 Transmission,988H13403.0.CCNP.0 Transmission
988H4267 - PARKING BRAKE-00 - (NONE),988H,4267 - PARKING BRAKE-00 - (NONE),14019.0.CNC.0 Park Brake,988H14019.0.CNC.0 Park Brake
988H5102 - LIFT/HOIST CYLINDER-LT - LEFT,988H,5102 - LIFT/HOIST CYLINDER-LT - LEFT,15022.LH.CCNP.0 Lift Cylinder,988H15022.LH.CCNP.0 Lift Cylinder
988H5102 - LIFT/HOIST CYLINDER-RI - RIGHT,988H,5102 - LIFT/HOIST CYLINDER-RI - RIGHT,15022.RH.CCNP.0 Lift Cylinder,988H15022.RH.CCNP.0 Lift Cylinder
988H5104 - TILT CYLINDER-00 - (NONE),988H,5104 - TILT CYLINDER-00 - (NONE),15031.0.CCNP.0 Tilt Cylinder,988H15031.0.CCNP.0 Tilt Cylinder
988H1374 - HYDRAULIC OIL COOLER-00 - (NONE),988H,1374 - HYDRAULIC OIL COOLER-00 - (NONE),15103.0.CNCNP.0 Hydraulic Oil Cooler,988H15103.0.CNCNP.0 Hydraulic Oil Cooler
988H4324 - SECONDARY STEERING PUMP-00 - (NONE),988H,4324 - SECONDARY STEERING PUMP-00 - (NONE),15333.0.CC.0 Supplementary Steering Pump,988H15333.0.CC.0 Supplementary Steering Pump
988H5085 - PILOT PUMP-00 - (NONE),988H,5085 - PILOT PUMP-00 - (NONE),15344.0.CC.0 Pilot Pump,988H15344.0.CC.0 Pilot Pump
988H,988H,,16128.0.CNCNP.0 Bucket / Body / Blade (Refurb / Re-line ONLY),988H16128.0.CNCNP.0 Bucket / Body / Blade (Refurb / Re-line ONLY)
988H,988H,,17502.0.CCNP.0 Articulation,988H17502.0.CCNP.0 Articulation
988H,988H,,16108.0.CC.0 Bucket - Reserve Strategy (Change Out ONLY),988H16108.0.CC.0 Bucket - Reserve Strategy (Change Out ONLY)
988H5070 - PISTON PUMP-00 - (NONE),988H,5070 - PISTON PUMP-00 - (NONE),15316.0.CC.0 Main Pump,988H15316.0.CC.0 Main Pump
988H4306 - STEERING PUMP-00 - (NONE),988H,4306 - STEERING PUMP-00 - (NONE),15332.0.CC.0 Steering Pump,988H15332.0.CC.0 Steering Pump
988H3066 - TRANSMISSION OIL PUMP-00 - (NONE),988H,3066 - TRANSMISSION OIL PUMP-00 - (NONE),15339.0.CC.0 Transmission Pump,988H15339.0.CC.0 Transmission Pump
988H4303 - STEERING CYLINDER-LT - LEFT,988H,4303 - STEERING CYLINDER-LT - LEFT,15026.LH.CC.0 Steering Cylinder,988H15026.LH.CC.0 Steering Cylinder
993K1052 - TURBOCHARGER-LT - LEFT,993K,1052 - TURBOCHARGER-LT - LEFT,11009.LH.CNCNP.0 Turbocharger,993K11009.LH.CNCNP.0 Turbocharger
993K1052 - TURBOCHARGER-RI - RIGHT,993K,1052 - TURBOCHARGER-RI - RIGHT,11009.RH.CNCNP.0 Turbocharger,993K11009.RH.CNCNP.0 Turbocharger
993K1353 - RADIATOR-00 - (NONE),993K,1353 - RADIATOR-00 - (NONE),11105.0.CC.0 Radiator,993K11105.0.CC.0 Radiator
993K,993K,,13022.BF.CNCNP.0 Cooler Axle,993K13022.BF.CNCNP.0 Cooler Axle
993K,993K,,13022.TF.CNCNP.0 Cooler Axle,993K13022.TF.CNCNP.0 Cooler Axle
993K1365 - BRAKE/AXLE OIL COOLER-RE - REAR,993K,1365 - BRAKE/AXLE OIL COOLER-RE - REAR,14015.RE.CNCNP.0 Brake Oil Cooler,993K14015.RE.CNCNP.0 Brake Oil Cooler
993K4267 - PARKING BRAKE-00 - (NONE),993K,4267 - PARKING BRAKE-00 - (NONE),14019.0.CNC.0 Park Brake,993K14019.0.CNC.0 Park Brake
993K5102 - LIFT/HOIST CYLINDER-LT - LEFT,993K,5102 - LIFT/HOIST CYLINDER-LT - LEFT,15022.LH.CCNP.0 Lift Cylinder,993K15022.LH.CCNP.0 Lift Cylinder
993K5102 - LIFT/HOIST CYLINDER-RI - RIGHT,993K,5102 - LIFT/HOIST CYLINDER-RI - RIGHT,15022.RH.CCNP.0 Lift Cylinder,993K15022.RH.CCNP.0 Lift Cylinder
993K5104 - TILT CYLINDER-LT - LEFT,993K,5104 - TILT CYLINDER-LT - LEFT,15031.LH.CCNP.0 Tilt Cylinder,993K15031.LH.CCNP.0 Tilt Cylinder
993K5104 - TILT CYLINDER-RI - RIGHT,993K,5104 - TILT CYLINDER-RI - RIGHT,15031.RH.CCNP.0 Tilt Cylinder,993K15031.RH.CCNP.0 Tilt Cylinder
993K4268 - BRAKE PUMP-00 - (NONE),993K,4268 - BRAKE PUMP-00 - (NONE),15304.0.CC.0 Brake Pump,993K15304.0.CC.0 Brake Pump
993K508C - HYDRAULIC COOLING PUMP-00 - (NONE),993K,508C - HYDRAULIC COOLING PUMP-00 - (NONE),15313.0.CC.0 Hydraulic Cooling Fan Pump,993K15313.0.CC.0 Hydraulic Cooling Fan Pump
993K3066 - TRANSMISSION OIL PUMP-00 - (NONE),993K,3066 - TRANSMISSION OIL PUMP-00 - (NONE),15339.0.CC.0 Transmission Pump,993K15339.0.CC.0 Transmission Pump
993K,993K,,16128.0.CNCNP.0 Bucket / Body / Blade (Refurb / Re-line ONLY),993K16128.0.CNCNP.0 Bucket / Body / Blade (Refurb / Re-line ONLY)
993K,993K,,17502.0.CCNP.0 Articulation,993K17502.0.CCNP.0 Articulation
993K,993K,,13008.0.CC.0 Differential Trunnion Bearing,993K13008.0.CC.0 Differential Trunnion Bearing
993K89GJ - HYDRAULIC COOLING FAN MOTOR-00 - (NONE),993K,89GJ - HYDRAULIC COOLING FAN MOTOR-00 - (NONE),15205.0.CC.0 Hydraulic Cooling Fan Motor,993K15205.0.CC.0 Hydraulic Cooling Fan Motor
993K,993K,,16108.0.CC.0 Bucket - Reserve Strategy (Change Out ONLY),993K16108.0.CC.0 Bucket - Reserve Strategy (Change Out ONLY)
993K1000 - ENGINE-00 - (NONE),993K,1000 - ENGINE-00 - (NONE),11204.0.CC.0 Engine,993K11204.0.CC.0 Engine
993K3258 - DIFFERENTIAL-FR - FRONT,993K,3258 - DIFFERENTIAL-FR - FRONT,13004.FT.CC.0 Differential,993K13004.FT.CC.0 Differential
993K3258 - DIFFERENTIAL-RE - REAR,993K,3258 - DIFFERENTIAL-RE - REAR,13004.RE.CC.0 Differential,993K13004.RE.CC.0 Differential
993K4006 - WHEEL & BRAKE ASSEMBLY-LF - LEFT FRONT,993K,4006 - WHEEL & BRAKE ASSEMBLY-LF - LEFT FRONT,13013.FL.CNC.0 Wheel Bearings,993K13013.FL.CNC.0 Wheel Bearings
993K4006 - WHEEL & BRAKE ASSEMBLY-RF - RIGHT FRONT,993K,4006 - WHEEL & BRAKE ASSEMBLY-RF - RIGHT FRONT,13013.FR.CNC.0 Wheel Bearings,993K13013.FR.CNC.0 Wheel Bearings
993K4051 - FINAL DRIVE & WHEEL-LF - LEFT FRONT,993K,4051 - FINAL DRIVE & WHEEL-LF - LEFT FRONT,13014.FL.CC.0 Wheel Group,993K13014.FL.CC.0 Wheel Group
993K4051 - FINAL DRIVE & WHEEL-RF - RIGHT FRONT,993K,4051 - FINAL DRIVE & WHEEL-RF - RIGHT FRONT,13014.FR.CC.0 Wheel Group,993K13014.FR.CC.0 Wheel Group
993K4051 - FINAL DRIVE & WHEEL-LR - LEFT REAR,993K,4051 - FINAL DRIVE & WHEEL-LR - LEFT REAR,13014.RL.CC.0 Wheel Group,993K13014.RL.CC.0 Wheel Group
993K4051 - FINAL DRIVE & WHEEL-RR - RIGHT REAR,993K,4051 - FINAL DRIVE & WHEEL-RR - RIGHT REAR,13014.RR.CC.0 Wheel Group,993K13014.RR.CC.0 Wheel Group
993K4303 - STEERING CYLINDER-LT - LEFT,993K,4303 - STEERING CYLINDER-LT - LEFT,15026.LH.CC.0 Steering Cylinder,993K15026.LH.CC.0 Steering Cylinder
993K4303 - STEERING CYLINDER-RI - RIGHT,993K,4303 - STEERING CYLINDER-RI - RIGHT,15026.RH.CC.0 Steering Cylinder,993K15026.RH.CC.0 Steering Cylinder
993K5070 - PISTON PUMP-00 - (NONE),993K,5070 - PISTON PUMP-00 - (NONE),15316.0.CC.0 Main Pump,993K15316.0.CC.0 Main Pump
993K4341 - STEERING COOLER PUMP-00 - (NONE),993K,4341 - STEERING COOLER PUMP-00 - (NONE),15331.0.CC.0 Steering Cooling Pump,993K15331.0.CC.0 Steering Cooling Pump
993K4306 - STEERING PUMP-00 - (NONE),993K,4306 - STEERING PUMP-00 - (NONE),15332.0.CC.0 Steering Pump,993K15332.0.CC.0 Steering Pump
993K3101 - TORQUE CONVERTER-00 - (NONE),993K,3101 - TORQUE CONVERTER-00 - (NONE),13400.0.CC.0 Torque Converter,993K13400.0.CC.0 Torque Converter
993K3030 - TRANSMISSION-00 - (NONE),993K,3030 - TRANSMISSION-00 - (NONE),13403.0.CC.0 Transmission,993K13403.0.CC.0 Transmission
993K1374 - HYDRAULIC OIL COOLER-LT - LEFT,993K,1374 - HYDRAULIC OIL COOLER-LT - LEFT,15103.LH.CNC.0 Hydraulic Oil Cooler,993K15103.LH.CNC.0 Hydraulic Oil Cooler
993K1374 - HYDRAULIC OIL COOLER-RI - RIGHT,993K,1374 - HYDRAULIC OIL COOLER-RI - RIGHT,15103.RH.CNC.0 Hydraulic Oil Cooler,993K15103.RH.CNC.0 Hydraulic Oil Cooler
993K3297 - AXLE OIL COOLER PUMP-00 - (NONE),993K,3297 - AXLE OIL COOLER PUMP-00 - (NONE),15355.0.CC.0 Axle Cooling Pump,993K15355.0.CC.0 Axle Cooling Pump
993K3297 - AXLE OIL COOLER PUMP-00 - (NONE),993K,3297 - AXLE OIL COOLER PUMP-00 - (NONE),15355.FR.CC.0 Axle Cooling Pump,993K15355.FR.CC.0 Axle Cooling Pump
993K3297 - AXLE OIL COOLER PUMP-00 - (NONE),993K,3297 - AXLE OIL COOLER PUMP-00 - (NONE),15355.RE.CC.0 Axle Cooling Pump,993K15355.RE.CC.0 Axle Cooling Pump
993K,993K,,16108.0.CCNP.0 Bucket - Reserve Strategy (Change Out ONLY),993K16108.0.CCNP.0 Bucket - Reserve Strategy (Change Out ONLY)
993K,993K,,16128.0.CNC.0 Bucket / Body / Blade (Refurb / Re-line ONLY),993K16128.0.CNC.0 Bucket / Body / Blade (Refurb / Re-line ONLY)
993K-HL1353 - RADIATOR-00 - (NONE),993K-HL,1353 - RADIATOR-00 - (NONE),11105.0.CC.0 Radiator,993K-HL11105.0.CC.0 Radiator
993K-HL,993K-HL,,13022.BF.CNCNP.0 Cooler Axle,993K-HL13022.BF.CNCNP.0 Cooler Axle
993K-HL,993K-HL,,13022.RE.CNCNP.0 Cooler Axle,993K-HL13022.RE.CNCNP.0 Cooler Axle
993K-HL,993K-HL,,13022.TF.CNCNP.0 Cooler Axle,993K-HL13022.TF.CNCNP.0 Cooler Axle
